timestamp;user;acceleration_x;acceleration_y;acceleration_z;gyro_x;gyro_y;gyro_z
;;0.2738;-1.0851;-0.2453;0.8030;-0.0729;1.0308
;;0.1094;-0.8228;-0.2037;1.0791;0.3116;1.1304
;;0.2506;-1.0306;-0.3295;0.6776;-0.0919;1.0399
;;0.2267;-1.1476;-0.2294;-1.0581;-0.5449;-0.9150
;;0.2167;-0.8563;-0.0835;-1.2635;-0.7162;-1.6643
;;0.2648;-1.1996;-0.1711;0.1563;0.4761;0.6208
;;0.1568;-0.9643;-0.2218;1.0428;-0.0847;1.0620
;;0.2106;-0.7951;-0.2370;0.8800;0.3598;0.8669
;;0.1870;-0.7093;-0.0989;-1.4743;-0.5096;-1.2676
;;0.1672;-0.7724;-0.0727;-0.5314;0.5608;-0.5476
;;0.1571;-1.2778;-0.2845;1.4040;-1.0412;0.9629
